industry,company_size,lead_status,engagement_score,tech_stack_match,budget_score,website_visits,email_opens,meetings,converted
Software,SMB,Negotiation,73,23,36,9,0,5,1
Other,Enterprise,New,24,33,39,25,11,0,1
Finance,SMB,Contacted,92,81,29,16,8,5,1
Healthcare,SMB,Contacted,96,40,89,4,1,2,0
Technology,Startup,Qualified,21,80,80,8,10,2,1
Other,Startup,Contacted,64,64,61,11,5,5,1
Retail,Enterprise,Negotiation,48,34,44,9,7,5,1
Other,SMB,Proposal Sent,77,36,28,8,10,0,1
Technology,Enterprise,Proposal Sent,22,62,81,2,12,1,1
Other,SMB,Negotiation,22,99,33,1,3,2,0
Healthcare,Enterprise,New,49,95,23,2,3,3,0
Education,SMB,Proposal Sent,70,44,39,7,2,5,1
Manufacturing,Enterprise,Contacted,85,93,85,18,0,3,1
Technology,SMB,Qualified,42,30,32,16,3,4,1
Other,Startup,Contacted,76,75,86,21,1,3,1
Education,Startup,New,85,69,49,8,9,0,0
Finance,SMB,Contacted,31,52,73,12,10,1,1
Other,Startup,Negotiation,98,87,98,1,3,2,1
Manufacturing,Startup,Contacted,93,61,98,8,4,5,1
Education,SMB,New,68,36,100,16,10,4,1
Finance,SMB,New,84,75,60,12,11,2,1
IT Services,Startup,Qualified,58,57,49,17,6,2,1
Software,Startup,Proposal Sent,73,45,49,6,0,1,0
Technology,Startup,Qualified,41,40,71,15,1,5,1
Manufacturing,SMB,Negotiation,84,74,82,1,6,1,1
Technology,SMB,New,56,21,35,24,9,2,1
Retail,Startup,Contacted,84,89,90,24,0,4,1
Retail,Enterprise,New,60,40,79,8,1,0,0
IT Services,Enterprise,Qualified,95,50,44,13,4,5,1
Manufacturing,Startup,Contacted,64,83,20,22,12,1,1
Other,SMB,New,32,69,36,22,0,1,0
Retail,Startup,Contacted,23,71,59,13,0,5,0
Education,Enterprise,New,84,37,65,14,2,0,0
Manufacturing,Enterprise,Proposal Sent,24,26,77,9,3,2,0
Software,Enterprise,Contacted,70,73,97,10,8,4,1
Healthcare,SMB,Contacted,82,85,41,22,0,4,1
Healthcare,Enterprise,Negotiation,97,65,83,18,5,3,1
Other,SMB,Qualified,43,55,50,22,9,2,1
Technology,Startup,Qualified,20,64,83,17,5,3,1
Retail,Enterprise,Negotiation,69,23,27,8,9,0,1
Education,Enterprise,Qualified,78,21,78,20,12,5,1
IT Services,Enterprise,Negotiation,88,72,63,10,7,2,1
Software,SMB,Qualified,80,58,21,24,12,1,1
IT Services,Startup,Qualified,20,88,28,12,1,2,0
Technology,SMB,New,72,39,48,23,1,1,1
IT Services,Enterprise,Contacted,67,52,47,8,12,5,1
Other,Startup,Contacted,32,83,33,25,3,3,1
IT Services,Enterprise,Qualified,94,60,21,3,4,2,1
Software,Enterprise,Negotiation,23,31,56,5,7,2,1
Other,Enterprise,Proposal Sent,99,79,81,15,10,3,1
Software,Enterprise,Contacted,43,77,96,18,10,4,1
Finance,Startup,Proposal Sent,46,20,69,13,5,0,0
Education,Startup,Contacted,59,91,82,7,11,2,1
IT Services,Startup,New,61,21,98,3,11,2,0
Healthcare,Enterprise,Proposal Sent,70,89,39,2,5,3,1
Software,SMB,Qualified,54,42,71,19,6,1,1
Healthcare,SMB,New,58,39,88,16,11,3,1
Retail,SMB,New,97,88,91,16,4,0,1
Healthcare,Startup,Contacted,51,95,69,12,1,1,0
Healthcare,SMB,Proposal Sent,83,96,96,18,1,0,1
Education,Enterprise,Qualified,36,34,31,11,10,5,1
IT Services,Startup,Qualified,77,83,58,18,12,1,1
Manufacturing,SMB,New,98,63,86,19,3,1,1
Healthcare,SMB,New,37,86,70,20,1,5,1
IT Services,Startup,Qualified,48,39,44,9,4,5,1
Retail,SMB,Negotiation,80,72,97,15,0,1,1
Software,SMB,Contacted,89,20,65,20,11,4,1
Finance,Startup,New,62,62,55,5,2,5,0
Manufacturing,SMB,Proposal Sent,60,36,46,7,0,2,0
Healthcare,SMB,Negotiation,71,31,98,1,0,2,0
Retail,Enterprise,New,94,21,61,2,10,0,0
Retail,Startup,Qualified,83,74,61,20,6,3,1
Retail,SMB,Contacted,57,47,32,13,4,5,1
Other,Enterprise,New,25,99,43,6,6,3,0
Healthcare,SMB,New,38,42,72,10,2,1,0
Technology,SMB,Proposal Sent,74,37,33,23,4,3,1
Healthcare,SMB,Negotiation,87,86,97,5,0,5,1
Technology,Startup,Qualified,64,68,57,14,2,2,1
Software,Enterprise,Negotiation,60,35,90,9,11,4,1
Manufacturing,SMB,Negotiation,71,26,24,1,5,3,0
Healthcare,SMB,Proposal Sent,77,22,58,12,9,2,1
Healthcare,Startup,Negotiation,95,75,78,5,11,5,1
Healthcare,Startup,Qualified,67,54,92,14,10,1,1
Manufacturing,Startup,Qualified,28,31,92,14,7,1,0
IT Services,Startup,Qualified,60,72,52,19,1,5,1
Software,SMB,Contacted,73,84,87,14,6,1,1
Finance,Startup,Negotiation,20,92,39,8,11,1,1
Retail,SMB,Qualified,86,87,33,8,4,0,0
Healthcare,Startup,Contacted,69,74,100,1,9,5,1
Manufacturing,Startup,Contacted,25,30,87,24,7,2,1
Healthcare,Startup,Negotiation,84,66,20,6,8,4,1
Software,SMB,Negotiation,40,47,68,17,10,4,1
Retail,Enterprise,Proposal Sent,51,27,68,11,11,4,1
IT Services,Startup,Proposal Sent,60,34,42,6,12,3,1
Education,Startup,Qualified,60,76,36,15,8,5,1
Finance,Enterprise,Contacted,42,40,90,12,5,5,1
IT Services,Enterprise,Negotiation,82,97,36,20,5,2,1
Finance,SMB,Qualified,54,83,57,25,9,3,1
Other,Startup,Contacted,68,32,41,14,7,5,1
Education,Enterprise,Proposal Sent,24,53,42,17,5,3,1
Education,Startup,Negotiation,21,97,21,18,6,0,1
Technology,Enterprise,Contacted,83,73,25,22,6,2,1
Healthcare,Enterprise,Qualified,97,53,46,18,0,3,1
Manufacturing,Enterprise,Proposal Sent,52,49,93,8,4,1,1
Retail,Startup,Proposal Sent,92,25,56,9,2,0,0
Software,Startup,Contacted,34,26,35,14,1,4,0
Retail,Enterprise,New,81,41,59,21,3,2,1
Retail,Enterprise,Proposal Sent,23,85,54,1,9,0,0
Education,Enterprise,New,37,30,91,11,2,0,0
IT Services,SMB,Proposal Sent,86,91,61,19,12,1,1
Other,Enterprise,Contacted,49,50,64,3,9,1,0
Finance,SMB,Proposal Sent,44,63,41,1,5,5,1
Retail,Enterprise,Qualified,74,55,75,7,7,4,1
Finance,SMB,Proposal Sent,36,66,95,15,10,4,1
Finance,Enterprise,Negotiation,100,79,76,21,11,4,1
Other,SMB,Negotiation,72,48,93,22,12,2,1
Other,Enterprise,New,77,47,100,21,10,0,1
IT Services,Startup,Negotiation,54,45,65,13,1,1,0
Technology,Enterprise,Contacted,68,45,89,2,10,4,1
Education,Startup,Negotiation,57,99,57,18,8,0,1
Other,Startup,New,99,91,54,17,0,2,1
Technology,Enterprise,Qualified,86,40,77,19,1,1,1
Healthcare,Startup,Contacted,27,34,44,22,3,0,0
Software,Enterprise,New,83,55,52,21,5,5,1
Other,Enterprise,Negotiation,28,42,64,18,10,0,1
Finance,Startup,Contacted,72,39,66,23,5,0,1
Other,SMB,Negotiation,77,87,46,5,7,1,1
IT Services,Startup,Negotiation,92,72,98,2,10,2,1
IT Services,Startup,New,77,23,45,25,6,0,1
Manufacturing,SMB,Contacted,65,42,81,17,3,0,1
Healthcare,Enterprise,New,94,31,31,17,6,1,1
Education,Enterprise,Qualified,23,50,70,4,6,1,0
Software,SMB,Qualified,87,72,41,22,3,3,1
Other,Enterprise,Contacted,40,91,45,3,9,4,1
Manufacturing,Enterprise,Contacted,94,94,85,25,8,2,1
Software,Enterprise,Qualified,71,45,38,10,4,4,1
Education,SMB,Proposal Sent,67,20,33,9,10,4,1
Education,Startup,Qualified,92,95,90,17,12,1,1
Manufacturing,SMB,Contacted,48,27,98,23,0,5,1
Other,Enterprise,Contacted,61,64,53,20,3,5,1
Healthcare,Enterprise,Negotiation,22,79,28,13,5,3,1
Manufacturing,SMB,Proposal Sent,87,26,57,5,10,4,1
Retail,SMB,New,62,42,79,6,2,4,0
Finance,SMB,Negotiation,53,95,85,11,6,4,1
Finance,SMB,Qualified,27,97,65,22,7,5,1
Other,SMB,New,54,47,71,14,10,0,1
Finance,SMB,Proposal Sent,92,40,48,25,5,5,1
Healthcare,SMB,New,55,94,72,14,7,5,1
Technology,Startup,Contacted,65,93,55,10,7,5,1
Technology,SMB,Contacted,31,37,64,21,9,3,1
Other,Enterprise,Qualified,76,75,55,3,0,0,0
Other,SMB,Qualified,83,81,46,1,11,4,1
Technology,SMB,Qualified,88,30,99,23,6,3,1
Finance,Startup,Contacted,40,47,87,13,12,5,1
Technology,Startup,Qualified,89,65,54,20,8,0,1
Other,Enterprise,Contacted,22,35,82,8,10,4,1
Technology,Enterprise,Proposal Sent,99,99,98,10,12,5,1
Manufacturing,Enterprise,Negotiation,74,42,37,5,6,4,1
Software,Startup,New,96,98,81,20,7,0,1
Software,Enterprise,Contacted,86,87,50,9,3,4,1
Technology,SMB,Contacted,94,53,98,11,10,4,1
Manufacturing,Startup,Qualified,63,22,90,19,11,0,1
Other,Enterprise,Qualified,50,99,60,17,9,2,1
Software,Enterprise,Negotiation,35,80,40,17,0,1,1
Other,Startup,Contacted,52,50,81,16,10,0,1
Finance,Startup,Proposal Sent,99,64,100,17,5,3,1
IT Services,SMB,Qualified,55,57,80,24,12,0,1
Finance,SMB,Proposal Sent,38,76,60,12,4,3,1
Manufacturing,Enterprise,Qualified,88,79,20,7,5,0,1
Manufacturing,SMB,Contacted,59,39,26,23,8,4,1
IT Services,Startup,New,69,64,44,15,10,3,1
Finance,SMB,Qualified,37,64,91,14,7,0,1
IT Services,Enterprise,Proposal Sent,24,86,77,20,10,3,1
Software,Enterprise,Contacted,90,52,44,13,12,5,1
Software,Startup,Qualified,52,77,79,9,4,4,1
Healthcare,SMB,Qualified,90,86,60,8,6,2,1
Software,Startup,Qualified,69,80,95,2,0,2,0
Education,Enterprise,Qualified,23,24,43,1,8,1,0
IT Services,SMB,Negotiation,85,94,61,1,0,0,0
Other,SMB,Negotiation,47,90,88,23,7,4,1
Manufacturing,SMB,Contacted,23,84,49,24,12,5,1
Healthcare,SMB,Negotiation,67,78,89,12,3,2,1
Healthcare,SMB,Qualified,54,39,56,6,12,1,1
Manufacturing,SMB,Proposal Sent,46,85,66,12,5,5,1
Healthcare,Startup,Negotiation,91,60,87,7,1,2,1
Retail,Enterprise,New,83,86,47,6,4,3,1
Technology,SMB,New,63,43,88,9,9,4,1
Software,Enterprise,Proposal Sent,31,40,56,3,9,4,1
Healthcare,Startup,Contacted,82,22,89,8,1,4,1
IT Services,Enterprise,New,69,91,69,21,6,1,1
Technology,SMB,Proposal Sent,48,62,45,20,9,1,1
Technology,SMB,Negotiation,22,40,75,25,3,1,1
Finance,SMB,Proposal Sent,67,29,42,5,4,1,0
Retail,Enterprise,Contacted,37,27,67,16,0,1,0
Healthcare,Enterprise,Contacted,54,82,57,24,1,0,1
Retail,SMB,Proposal Sent,100,93,91,16,4,0,1
Other,Enterprise,New,82,78,26,5,2,4,1
Other,SMB,New,67,70,71,16,12,3,1
Retail,Startup,Contacted,26,75,68,23,1,5,1
IT Services,Enterprise,Negotiation,48,40,62,5,7,2,1
Software,SMB,Proposal Sent,55,66,86,6,8,5,1
Manufacturing,SMB,Proposal Sent,67,20,45,20,12,5,1
IT Services,Enterprise,Proposal Sent,55,39,43,25,6,0,1
Technology,SMB,Negotiation,20,68,60,24,10,0,1
IT Services,SMB,Proposal Sent,93,54,40,7,1,5,1
